t (s),acceleration (m/s^2),veh_id,position_x (m),position_y (m),vitesse (m/s)
67.0,-0.10353572664528521,f_0.22,-90.26431786499289,-1.6,1.174847517090738
67.1,1.9504152785521,f_0.10,192.7763220485205,-1.6,13.57535165400137
67.1,1.5430367694701985,f_0.11,0.025921099409236703,-1.6,4.2793977930808245
67.1,1.033068737818521,f_0.12,-9.812693325474015,-1.6,2.9506054760743536
67.1,2.3215686075588904,f_0.13,-18.795131485526454,-1.6,1.8063533896525896
67.1,1.1611968659360306,f_0.14,-27.07795532766876,-1.6,0.8291264907406564
67.1,0.627877045458855,f_0.15,-34.89545498697318,-1.6,0.2835681664955808
67.1,0.18196940692652547,f_0.16,-42.48954937453178,-1.6,0.0716877123425084
67.1,0.015534441748003246,f_0.17,-50.02664316737162,-1.6,0.030657344681515927
67.1,-0.022099898134588236,f_0.18,-57.58559710380384,-1.6,0.0609210532966661
67.1,-0.078846509718494,f_0.19,-65.24012613973619,-1.6,0.1636989938848262
67.1,-0.15309559337263023,f_0.20,-73.13097316440715,-1.6,0.40108296763326945
67.1,-0.43532964508586236,f_0.21,-81.45515348889816,-1.6,0.791513405676779
67.1,-0.2876653436313181,f_0.22,-90.14970976672012,-1.6,1.1460809827276062
67.2,2.3845947759691555,f_0.10,194.15770316168033,-1.6,13.813811131598285
67.2,1.9318275687284725,f_0.11,0.4731791544046038,-1.6,4.472580549953672
67.2,1.7879319006413796,f_0.12,-9.49975345886017,-1.6,3.1293986661384916
67.2,1.606572182499899,f_0.13,-18.598430424736193,-1.6,1.9670106079025795
67.2,1.5161239452569653,f_0.14,-26.97988143914212,-1.6,0.9807388852663529
67.2,0.6981075094592321,f_0.15,-34.86011709522903,-1.6,0.353378917441504
67.2,0.1730552123959922,f_0.16,-42.480650051173576,-1.6,0.08899323358210762
67.2,0.051952876595114,f_0.17,-50.02305790413751,-1.6,0.03585263234102733
67.2,-0.04669931457592508,f_0.18,-57.579971991619935,-1.6,0.05625112183907359
67.2,-0.15017436124196898,f_0.19,-65.22525798396013,-1.6,0.1486815577606293
67.2,-0.17902491714211433,f_0.20,-73.09265511681524,-1.6,0.383180475919058
67.2,-0.14089005833568535,f_0.21,-81.37741104891384,-1.6,0.7774243998432104
67.2,-0.6154814385767682,f_0.22,-90.04125648283313,-1.6,1.0845328388699293
67.3,1.3716971607180284,f_0.10,195.55280124644733,-1.6,13.950980847670088
67.3,1.47745562170166,f_0.11,0.9352117656169874,-1.6,4.620326112123838
67.3,1.6174051179449567,f_0.12,-9.170639541066876,-1.6,3.2911391779329873
67.3,1.388253940357549,f_0.13,-18.387846824542365,-1.6,2.1058360019383344
67.3,1.18939251221586,f_0.14,-26.869913625493325,-1.6,1.0996781364879389
67.3,0.6751125183542056,f_0.15,-34.81802807830134,-1.6,0.4208901692769246
67.3,0.2831350139580732,f_0.16,-42.46891937767578,-1.6,0.11730673497791494
67.3,0.055025963349761356,f_0.17,-50.01892238126991,-1.6,0.04135522867600346
67.3,-0.007956004645835665,f_0.18,-57.57442643948249,-1.6,0.05545552137449002
67.3,-0.09033989124775682,f_0.19,-65.21129322709655,-1.6,0.13964756863585362
67.3,-0.27453652846121335,f_0.20,-73.05708243450795,-1.6,0.3557268230729367
67.3,-0.5564526890995425,f_0.21,-81.30523313582052,-1.6,0.7217791309332562
67.3,-0.06985148298139565,f_0.22,-89.93350171377595,-1.6,1.0775476905717898
67.4,2.2776389395818164,f_0.10,196.97067572061016,-1.6,14.17874474162827
67.4,1.4087900083977711,f_0.11,1.411332276913349,-1.6,4.761205112963615
67.4,1.3427735356500303,f_0.12,-8.828097887917082,-1.6,3.4254165314979903
